file,category,extension,bytes,duration_seconds,width,height,fps,video_codec,audio_codec,sample_rate,channels,probe_error
input/backgrounds/stage-boss-arena-bg.jpg,backgrounds,.jpg,79453,0.04,720,1280,25/1,mjpeg,,,,
input/backgrounds/stage-desert-bg.jpg,backgrounds,.jpg,82668,0.04,720,1280,25/1,mjpeg,,,,
input/backgrounds/stage-grass-bg.jpg,backgrounds,.jpg,89616,0.04,720,1280,25/1,mjpeg,,,,
input/backgrounds/stage-snow-bg.jpg,backgrounds,.jpg,88721,0.04,720,1280,25/1,mjpeg,,,,
input/backgrounds/stage-volcanic-bg.jpg,backgrounds,.jpg,72265,0.04,720,1280,25/1,mjpeg,,,,
input/backgrounds/title-day.jpg,backgrounds,.jpg,130544,0.04,720,1280,25/1,mjpeg,,,,
input/backgrounds/title-evening.jpg,backgrounds,.jpg,97022,0.04,720,1280,25/1,mjpeg,,,,
input/backgrounds/title-morning.jpg,backgrounds,.jpg,110624,0.04,720,1280,25/1,mjpeg,,,,
input/backgrounds/title-night.jpg,backgrounds,.jpg,73129,0.04,720,1280,25/1,mjpeg,,,,
input/characters/akuma.png,characters,.png,137466,,384,248,25/1,png,,,,
input/characters/barugerukan.png,characters,.png,168552,,384,292,25/1,png,,,,
input/characters/burumutan.png,characters,.png,156550,,384,288,25/1,png,,,,
input/characters/do-rednote.png,characters,.png,156383,,384,273,25/1,png,,,,
input/characters/iwa.png,characters,.png,159717,,384,275,25/1,png,,,,
input/characters/jinba.png,characters,.png,106689,,384,233,25/1,png,,,,
input/characters/kishi.png,characters,.png,162064,,384,255,25/1,png,,,,
input/characters/kyoryu.png,characters,.png,208558,,384,298,25/1,png,,,,
input/characters/mecha.png,characters,.png,152415,,384,240,25/1,png,,,,
input/characters/medama.png,characters,.png,157007,,384,261,25/1,png,,,,
input/characters/mocchario.png,characters,.png,187178,,384,283,25/1,png,,,,
input/characters/neko.png,characters,.png,164824,,384,289,25/1,png,,,,
input/characters/nisenmono.png,characters,.png,134295,,286,384,25/1,png,,,,
input/characters/shinigami.png,characters,.png,224320,,512,512,25/1,png,,,,
input/characters/sumoeru.png,characters,.png,228042,,384,302,25/1,png,,,,
input/characters/tori.png,characters,.png,117519,,384,247,25/1,png,,,,
input/logo/loading-emblem.png,logo,.png,227079,,320,320,25/1,png,,,,
input/logo/title-logo.png,logo,.png,945913,,1024,820,25/1,png,,,,
input/music/room-bgm.mp3,music,.mp3,2143128,92.240167,,,,,mp3,48000,2,
input/music/stage-boss-arena.mp3,music,.mp3,2468376,102.920167,,,,,mp3,48000,2,
input/music/stage-desert.mp3,music,.mp3,1157805,72.300979,,,,,mp3,48000,2,
input/music/stage-grass.mp3,music,.mp3,1726893,107.86,,,,,mp3,48000,2,
input/music/stage-snow.mp3,music,.mp3,1457325,91.02,,,,,mp3,48000,2,
input/music/stage-volcanic.mp3,music,.mp3,1529133,95.500167,,,,,mp3,48000,2,
input/music/title-bgm.mp3,music,.mp3,675222,28.07575,,,,,mp3,48000,2,
input/music/撃ち抜けカタモン.mp3,music,.mp3,2549064,111.920167,,,,,mp3,48000,2,
input/ui/icon-192.png,ui,.png,67825,,192,192,25/1,png,,,,
input/ui/icon-512.png,ui,.png,412707,,512,512,25/1,png,,,,
