asset_id,layer,slot,set,design_feature,small_size_visibility,self_rating,status
gear_silhouette_auxiliary_01,silhouette,auxiliary,,articulated helper arm and repair tools,clear at 64px,A,adopt
gear_silhouette_sight_01,silhouette,sight,,large blue lens and rangefinder body,clear at 64px,A,adopt
gear_silhouette_engine_01,silhouette,engine,,flywheel exhaust and low powerplant body,clear at 64px,A,adopt
gear_silhouette_barrel_01,silhouette,barrel,,wide muzzle and short reinforced cannon,clear at 64px,A,adopt
gear_silhouette_armor_01,silhouette,armor,,broad layered defensive plate,clear at 64px,A,adopt
gear_silhouette_core_01,silhouette,core,,contained luminous central reactor,clear at 64px,A,adopt
gear_emblem_assault_01,emblem,,assault,forward spearhead and fangs,distinct at 27px,A,adopt
gear_emblem_life_01,emblem,,life,heart reservoir and leaves,distinct at 27px,A,adopt
gear_emblem_fortify_01,emblem,,fortify,castle shield and riveted wall,distinct at 27px,A,adopt
gear_emblem_critical_01,emblem,,critical,split crystal and precision needle,distinct at 27px,A,adopt
gear_emblem_blast_01,emblem,,blast,pressure orb and radial vents,distinct at 27px,A,adopt
gear_emblem_impact_01,emblem,,impact,piston springs and anvil plate,distinct at 27px,A,adopt
gear_emblem_rescue_01,emblem,,rescue,repair wrench and life capsule,distinct at 27px,A,adopt
gear_emblem_laststand_01,emblem,,last_stand,fractured overdrive core and clamps,distinct at 27px,A,adopt
